browser,page,viewport,viewportType,httpStatus,cssLoaded,logoVisible,headerFits,callNowVisible,callNowClipped,getQuoteVisible,getQuoteClipped,navVisible,navClipped,menuVisible,menuClipped,noHorizontalScroll,marqueeFits,heroContentSafe,heroImageSafe,cardsDoNotClip,stickyCtaOk,footerReadable,scrollWidth,clientWidth,h1Text,screenshot,result,notes
Chromium,/services/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Electrical Services Sydney & Surrounding Regions,,PASS,
Chromium,/services/consumer-mains-sydney/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Consumer Mains Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/defect-notice-repairs-sydney/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Electrical Defect Notice Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/point-of-attachment-repairs-sydney/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Point of Attachment Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/switchboard-upgrades-sydney/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Switchboard Upgrades Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Electricians Across Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Electrician Panania 2213,,PASS,
Chromium,/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Electrician Coogee 2034,,PASS,
Chromium,/privacy-policy/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Privacy Policy,,PASS,
Chromium,/terms/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Terms of Use,,PASS,
Chromium,/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Emergency electrical fault? Call now — 0461 247 247,reports/header-responsive-screenshots/chromium-home-1366x768-key.png,PASS,
Chromium,/emergency-electrician-sydney/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/level-2-electrician-sydney/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Level 2 Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Electrical Services Sydney & Surrounding Regions,,PASS,
Chromium,/services/consumer-mains-sydney/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Consumer Mains Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/defect-notice-repairs-sydney/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Electrical Defect Notice Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/point-of-attachment-repairs-sydney/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Point of Attachment Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/switchboard-upgrades-sydney/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Switchboard Upgrades Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Electricians Across Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Electrician Panania 2213,,PASS,
Chromium,/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Electrician Coogee 2034,,PASS,
Chromium,/privacy-policy/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Privacy Policy,,PASS,
Chromium,/terms/,1366x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1366,1366,Terms of Use,,PASS,
Chromium,/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/emergency-electrician-sydney/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/level-2-electrician-sydney/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Level 2 Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Electrical Services Sydney & Surrounding Regions,,PASS,
Chromium,/services/consumer-mains-sydney/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Consumer Mains Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/defect-notice-repairs-sydney/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Electrical Defect Notice Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/point-of-attachment-repairs-sydney/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Point of Attachment Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/switchboard-upgrades-sydney/,1440x900,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1440,1440,Switchboard Upgrades Sydney & Surrounding Regions,,PASS,
