route,pageType,status,title,h1,wordCount,phoneCTA,quoteCTA,adsTag,phoneConversion,quoteConversion,internalLinks,brokenInternalLinks,assets,assetFailures,staleRisky,notes
https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/winmalee,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/woodford,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/yellow-rock,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west,area-region,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown,area-region,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
