route,viewport,status,error,h1Count,horizontalOverflow,scrollWidth,headerExists,headerClips,stripExists,stripClips,stickyExists,stickyClips,heroExists,phoneCta,quoteCta,adsTag,failedImages
/services/pre-purchase-rental-electrical-inspections-sydney/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/services/hot-water-system-electrician-sydney/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/services/split-system-air-conditioning-sydney/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/services/switchboard-upgrades-sydney/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/services/consumer-mains-sydney/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/service-areas/western-sydney-and-nepean/blacktown/blacktown/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/privacy-policy/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/terms/,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/404.html,390x844,200,,1,false,390,true,false,true,false,true,false,true,true,true,true,
/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
/about/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
/contact/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
/solar-batteries/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
/emergency-electrician-sydney/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
/level-2-electrician-sydney/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
/services/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
/service-areas/,412x915,200,,1,false,412,true,false,true,false,true,false,true,true,true,true,
