pageName,route,viewport,pass,callAccessible,quoteAccessible,status,overflow,headerFits,headerVisible,h1Visible,headerCallVisible,headerQuoteVisible,stickyCallVisible,stickyQuoteVisible,imageVisible,imageFilter,imageOpacity,imageBlend,imageMask,heroBeforeDisplay,heroBeforeContent,heroAfterDisplay,heroAfterContent,menuButtonVisible,scrollWorks,cssLoads,menuOpens
"level2","/level-2-electrician-sydney/","768x1024",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","820x1180",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","834x1194",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","912x1368",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1024x1366",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1024x768",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1180x820",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1280x720",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1366x768",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1440x900",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1536x864",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
