route,viewport,status,error,menuWorks,h1Count,h1Text,horizontalOverflow,scrollWidth,headerFits,stripExists,stripVisible,stripAnimation,stickyExists,stickyVisible,phoneCta,phoneClick,quoteCta,adsTag,failedImages,heroImagePresent,heroUntinted,heroImageInfo,callButtonRed,quoteButtonBlue,cssLoaded,pass,failReasons
"/services/","1366x768","200","","not-tested","1","Electrical Services Sydney & Surrounding Regions","false","1366","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/service-areas/","1366x768","200","","not-tested","1","Electricians Across Sydney & Surrounding Regions","false","1366","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/services/pre-purchase-rental-electrical-inspections-sydney/","1366x768","200","","not-tested","1","Pre-Purchase & Rental Electrical Inspections Sydney","false","1366","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1366x768","200","","not-tested","1","Electrician Panania 2213","false","1366","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/privacy-policy/","1366x768","200","","not-tested","1","Privacy Policy","false","1366","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/terms/","1366x768","200","","not-tested","1","Terms of Use","false","1366","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/","1920x1080","200","","not-tested","1","Emergency & Level 2 Electrician Sydney","false","1920","true","true","true","52s","true","false","true","true","true","true","","true","true","filter:none opacity:1 mix:normal bg:0% 0% size:auto","true","true","true","true",""
"/about/","1920x1080","200","","not-tested","1","About Evaready Electrical","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/contact/","1920x1080","200","","not-tested","1","Contact Evaready Electrical","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/solar-batteries/","1920x1080","200","","not-tested","1","Solar & Battery Electrical Support Sydney","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/emergency-electrician-sydney/","1920x1080","200","","not-tested","1","Emergency Electrician Sydney and Surrounding Regions","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/level-2-electrician-sydney/","1920x1080","200","","not-tested","1","Level 2 Electrician Sydney & Surrounding Regions","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/services/","1920x1080","200","","not-tested","1","Electrical Services Sydney & Surrounding Regions","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/service-areas/","1920x1080","200","","not-tested","1","Electricians Across Sydney & Surrounding Regions","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/services/pre-purchase-rental-electrical-inspections-sydney/","1920x1080","200","","not-tested","1","Pre-Purchase & Rental Electrical Inspections Sydney","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1920x1080","200","","not-tested","1","Electrician Panania 2213","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/privacy-policy/","1920x1080","200","","not-tested","1","Privacy Policy","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
"/terms/","1920x1080","200","","not-tested","1","Terms of Use","false","1920","true","true","true","52s","true","false","true","true","true","true","","false","true","none","true","true","true","true",""
