route,page type,viewport,html exists yes/no,title,h1,body word count,main content visible yes/no,h1 visible yes/no,phone CTA visible yes/no,quote CTA visible yes/no,sticky CTA visible yes/no,sticky CTA overlaps content yes/no,horizontal overflow yes/no,header overlaps hero yes/no,marquee clipped yes/no,hero image visible yes/no,trust cards clipped yes/no,quote process cards clipped yes/no,Google review/rating block visible and styled yes/no,footer visible above sticky CTA yes/no,invisible important text warning,clipped important card warning,notes
/service-areas/sydney-city-and-eastern-suburbs/waverley/queens-park,suburb page,430x932,yes,Electrician Queens Park 2022 | Emergency & Level 2,Electrician Queens Park 2022,2918,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/waverley/rose-bay,suburb page,430x932,yes,Electrician Rose Bay 2029 | Emergency & Level 2,Electrician Rose Bay 2029,2956,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/waverley/tamarama,suburb page,430x932,yes,Electrician Tamarama 2026 | Emergency & Level 2,Electrician Tamarama 2026,2929,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/waverley/vaucluse,suburb page,430x932,yes,Electrician Vaucluse 2030 | Emergency & Level 2,Electrician Vaucluse 2030,2842,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/waverley/waverley,suburb page,430x932,yes,Electrician Waverley 2024 | Emergency & Level 2,Electrician Waverley 2024,2842,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra,area page,430x932,yes,Woollahra Electrician | Sydney City & Eastern Suburbs,"Woollahra Electrician - Emergency, Level 2 & Planned Work",1013,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra/bellevue-hill,suburb page,430x932,yes,Electrician Bellevue Hill 2023 | Emergency & Level 2,Electrician Bellevue Hill 2023,2912,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra/darling-point,suburb page,430x932,yes,Electrician Darling Point 2027 | Emergency & Level 2,Electrician Darling Point 2027,2923,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra/double-bay,suburb page,430x932,yes,Electrician Double Bay 2028 | Emergency & Level 2,Electrician Double Bay 2028,2988,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra/edgecliff,suburb page,430x932,yes,Electrician Edgecliff 2027 | Emergency & Level 2,Electrician Edgecliff 2027,2927,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra/point-piper,suburb page,430x932,yes,Electrician Point Piper 2027 | Emergency & Level 2,Electrician Point Piper 2027,2923,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra/watsons-bay,suburb page,430x932,yes,Electrician Watsons Bay 2030 | Emergency & Level 2,Electrician Watsons Bay 2030,2947,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/sydney-city-and-eastern-suburbs/woollahra/woollahra,suburb page,430x932,yes,Electrician Woollahra 2025 | Emergency & Level 2,Electrician Woollahra 2025,2915,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean,region page,430x932,yes,Western Sydney & Nepean Electrician | Emergency & Level 2,"Western Sydney & Nepean Electrician - Emergency, Level 2 & Planned Work",1092,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/service-areas/western-sydney-and-nepean/blacktown,area page,430x932,yes,Blacktown Electrician | Western Sydney & Nepean,"Blacktown Electrician - Emergency, Level 2 & Planned Work",1153,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/acacia-gardens,suburb page,430x932,yes,Electrician Acacia Gardens 2763 | Emergency & Level 2,Electrician Acacia Gardens 2763,2970,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/arndell-park,suburb page,430x932,yes,Electrician Arndell Park 2148 | Emergency & Level 2,Electrician Arndell Park 2148,2851,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/bidwill,suburb page,430x932,yes,Electrician Bidwill 2770 | Emergency & Level 2,Electrician Bidwill 2770,2826,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/blackett,suburb page,430x932,yes,Electrician Blackett 2770 | Emergency & Level 2,Electrician Blackett 2770,2823,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/blacktown,suburb page,430x932,yes,Electrician Blacktown 2148 | Emergency & Level 2,Electrician Blacktown 2148,2872,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/bungarribee,suburb page,430x932,yes,Electrician Bungarribee 2767 | Emergency & Level 2,Electrician Bungarribee 2767,2880,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/colebee,suburb page,430x932,yes,Electrician Colebee 2761 | Emergency & Level 2,Electrician Colebee 2761,2845,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/dean-park,suburb page,430x932,yes,Electrician Dean Park 2761 | Emergency & Level 2,Electrician Dean Park 2761,2923,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/dharruk,suburb page,430x932,yes,Electrician Dharruk 2770 | Emergency & Level 2,Electrician Dharruk 2770,2849,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/doonside,suburb page,430x932,yes,Electrician Doonside 2767 | Emergency & Level 2,Electrician Doonside 2767,2809,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/eastern-creek,suburb page,430x932,yes,Electrician Eastern Creek 2766 | Emergency & Level 2,Electrician Eastern Creek 2766,2908,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/emerton,suburb page,430x932,yes,Electrician Emerton 2770 | Emergency & Level 2,Electrician Emerton 2770,2827,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/glendenning,suburb page,430x932,yes,Electrician Glendenning 2761 | Emergency & Level 2,Electrician Glendenning 2761,2882,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/glenwood,suburb page,430x932,yes,Electrician Glenwood 2768 | Emergency & Level 2,Electrician Glenwood 2768,2856,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/hassall-grove,suburb page,430x932,yes,Electrician Hassall Grove 2761 | Emergency & Level 2,Electrician Hassall Grove 2761,2919,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/hebersham,suburb page,430x932,yes,Electrician Hebersham 2770 | Emergency & Level 2,Electrician Hebersham 2770,2810,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/kellyville-ridge,suburb page,430x932,yes,Electrician Kellyville Ridge 2155 | Emergency & Level 2,Electrician Kellyville Ridge 2155,2940,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/kings-langley,suburb page,430x932,yes,Electrician Kings Langley 2147 | Emergency & Level 2,Electrician Kings Langley 2147,2889,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/kings-park,suburb page,430x932,yes,Electrician Kings Park 2148 | Emergency & Level 2,Electrician Kings Park 2148,2894,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/lalor-park,suburb page,430x932,yes,Electrician Lalor Park 2147 | Emergency & Level 2,Electrician Lalor Park 2147,2882,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/lethbridge-park,suburb page,430x932,yes,Electrician Lethbridge Park 2770 | Emergency & Level 2,Electrician Lethbridge Park 2770,2928,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/marayong,suburb page,430x932,yes,Electrician Marayong 2148 | Emergency & Level 2,Electrician Marayong 2148,2795,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/marsden-park,suburb page,430x932,yes,Electrician Marsden Park 2765 | Emergency & Level 2,Electrician Marsden Park 2765,2949,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/minchinbury,suburb page,430x932,yes,Electrician Minchinbury 2770 | Emergency & Level 2,Electrician Minchinbury 2770,2869,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/mount-druitt,suburb page,430x932,yes,Electrician Mount Druitt 2770 | Emergency & Level 2,Electrician Mount Druitt 2770,2956,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/oakhurst,suburb page,430x932,yes,Electrician Oakhurst 2761 | Emergency & Level 2,Electrician Oakhurst 2761,2849,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/parklea,suburb page,430x932,yes,Electrician Parklea 2768 | Emergency & Level 2,Electrician Parklea 2768,2839,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/plumpton,suburb page,430x932,yes,Electrician Plumpton 2761 | Emergency & Level 2,Electrician Plumpton 2761,2803,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/prospect,suburb page,430x932,yes,Electrician Prospect 2148 | Emergency & Level 2,Electrician Prospect 2148,2863,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/quakers-hill,suburb page,430x932,yes,Electrician Quakers Hill 2763 | Emergency & Level 2,Electrician Quakers Hill 2763,3010,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/riverstone,suburb page,430x932,yes,Electrician Riverstone 2765 | Emergency & Level 2,Electrician Riverstone 2765,2904,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/rooty-hill,suburb page,430x932,yes,Electrician Rooty Hill 2766 | Emergency & Level 2,Electrician Rooty Hill 2766,2976,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/ropes-crossing,suburb page,430x932,yes,Electrician Ropes Crossing 2760 | Emergency & Level 2,Electrician Ropes Crossing 2760,2930,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/schofields,suburb page,430x932,yes,Electrician Schofields 2762 | Emergency & Level 2,Electrician Schofields 2762,2841,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/seven-hills,suburb page,430x932,yes,Electrician Seven Hills 2147 | Emergency & Level 2,Electrician Seven Hills 2147,2969,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/shalvey,suburb page,430x932,yes,Electrician Shalvey 2770 | Emergency & Level 2,Electrician Shalvey 2770,2821,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/shanes-park,suburb page,430x932,yes,Electrician Shanes Park 2747 | Emergency & Level 2,Electrician Shanes Park 2747,3000,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/stanhope-gardens,suburb page,430x932,yes,Electrician Stanhope Gardens 2768 | Emergency & Level 2,Electrician Stanhope Gardens 2768,2949,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/the-ponds,suburb page,430x932,yes,Electrician The Ponds 2769 | Emergency & Level 2,Electrician The Ponds 2769,2932,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/toongabbie,suburb page,430x932,yes,Electrician Toongabbie 2146 | Emergency & Level 2,Electrician Toongabbie 2146,2861,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/tregear,suburb page,430x932,yes,Electrician Tregear 2770 | Emergency & Level 2,Electrician Tregear 2770,2804,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/whalan,suburb page,430x932,yes,Electrician Whalan 2770 | Emergency & Level 2,Electrician Whalan 2770,2810,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/willmot,suburb page,430x932,yes,Electrician Willmot 2770 | Emergency & Level 2,Electrician Willmot 2770,2824,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/blacktown/woodcroft,suburb page,430x932,yes,Electrician Woodcroft 2767 | Emergency & Level 2,Electrician Woodcroft 2767,2806,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith,area page,430x932,yes,Penrith Electrician | Western Sydney & Nepean,"Penrith Electrician - Emergency, Level 2 & Planned Work",1107,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/service-areas/western-sydney-and-nepean/penrith/berkshire-park,suburb page,430x932,yes,Electrician Berkshire Park 2765 | Emergency & Level 2,Electrician Berkshire Park 2765,2903,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/caddens,suburb page,430x932,yes,Electrician Caddens 2747 | Emergency & Level 2,Electrician Caddens 2747,2806,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/cambridge-gardens,suburb page,430x932,yes,Electrician Cambridge Gardens 2747 | Emergency & Level 2,Electrician Cambridge Gardens 2747,2923,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/cambridge-park,suburb page,430x932,yes,Electrician Cambridge Park 2747 | Emergency & Level 2,Electrician Cambridge Park 2747,2921,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/castlereagh,suburb page,430x932,yes,Electrician Castlereagh 2749 | Emergency & Level 2,Electrician Castlereagh 2749,2800,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/claremont-meadows,suburb page,430x932,yes,Electrician Claremont Meadows 2747 | Emergency & Level 2,Electrician Claremont Meadows 2747,2879,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/colyton,suburb page,430x932,yes,Electrician Colyton 2760 | Emergency & Level 2,Electrician Colyton 2760,2794,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/cranebrook,suburb page,430x932,yes,Electrician Cranebrook 2749 | Emergency & Level 2,Electrician Cranebrook 2749,2810,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/emu-heights,suburb page,430x932,yes,Electrician Emu Heights 2750 | Emergency & Level 2,Electrician Emu Heights 2750,2882,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/emu-plains,suburb page,430x932,yes,Electrician Emu Plains 2750 | Emergency & Level 2,Electrician Emu Plains 2750,2921,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/erskine-park,suburb page,430x932,yes,Electrician Erskine Park 2759 | Emergency & Level 2,Electrician Erskine Park 2759,2912,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/glenmore-park,suburb page,430x932,yes,Electrician Glenmore Park 2745 | Emergency & Level 2,Electrician Glenmore Park 2745,2966,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/jamisontown,suburb page,430x932,yes,Electrician Jamisontown 2750 | Emergency & Level 2,Electrician Jamisontown 2750,2806,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/jordan-springs,suburb page,430x932,yes,Electrician Jordan Springs 2747 | Emergency & Level 2,Electrician Jordan Springs 2747,2923,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/kingswood,suburb page,430x932,yes,Electrician Kingswood 2747 | Emergency & Level 2,Electrician Kingswood 2747,2849,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/leonay,suburb page,430x932,yes,Electrician Leonay 2750 | Emergency & Level 2,Electrician Leonay 2750,2811,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/llandilo,suburb page,430x932,yes,Electrician Llandilo 2747 | Emergency & Level 2,Electrician Llandilo 2747,2850,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/londonderry,suburb page,430x932,yes,Electrician Londonderry 2753 | Emergency & Level 2,Electrician Londonderry 2753,2882,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/mount-vernon,suburb page,430x932,yes,Electrician Mount Vernon 2178 | Emergency & Level 2,Electrician Mount Vernon 2178,2950,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/mulgoa,suburb page,430x932,yes,Electrician Mulgoa 2745 | Emergency & Level 2,Electrician Mulgoa 2745,2888,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/service-areas/western-sydney-and-nepean/penrith/north-st-marys,suburb page,430x932,yes,Electrician North St Marys 2760 | Emergency & Level 2,Electrician North St Marys 2760,3021,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
