file,type,raw bytes,gzip bytes,route or asset group,over 500 KB yes/no,over 1 MB yes/no,duplicate content hash yes/no,optimisation recommendation,notes
service-areas/wollongong-and-illawarra/shellharbour/flinders/index.html,html,394532,45353,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/central-mangrove/index.html,html,394530,44684,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/parramatta/granville/index.html,html,394525,46002,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/parramatta/wentworth-point/index.html,html,394520,45758,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/kanahooka/index.html,html,394508,44942,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/peats-ridge/index.html,html,394497,44830,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/stanhope-gardens/index.html,html,394494,45681,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hills-district/west-pennant-hills/index.html,html,394472,45456,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/east-kangaloon/index.html,html,394467,45071,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/fairy-meadow/index.html,html,394445,45087,route html,no,no,no,ok,
service-areas/northern-sydney-and-ryde/hunters-hill/huntleys-point/index.html,html,394431,45808,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/north-balgowlah/index.html,html,394406,45512,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/barrack-point/index.html,html,394343,45007,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/randwick/randwick/index.html,html,394341,46244,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/russell-vale/index.html,html,394331,44953,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/sutton-forest/index.html,html,394324,45259,route html,no,no,no,ok,
service-areas/blue-mountains/blue-mountains/hawkesbury-heights/index.html,html,394293,45346,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/woolloomooloo/index.html,html,394242,45528,route html,no,no,no,ok,
service-areas/northern-sydney-and-ryde/hunters-hill/huntleys-cove/index.html,html,394232,45213,route html,no,no,no,ok,
service-areas/blue-mountains/blue-mountains/yellow-rock/index.html,html,394225,45193,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/kangy-angy/index.html,html,394209,45440,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/mooney-mooney/index.html,html,394193,45352,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/duffys-forest/index.html,html,394187,44840,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/campbelltown/macquarie-fields/index.html,html,394184,45754,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/primbee/index.html,html,394158,45050,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/mount-keira/index.html,html,394142,45071,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/canada-bay/north-strathfield/index.html,html,394138,45462,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/queenscliff/index.html,html,394136,44884,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/orchard-hills/index.html,html,394135,45259,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/scarborough/index.html,html,394130,44714,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/strathfield/homebush/index.html,html,394118,46227,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/corrimal/index.html,html,394096,44748,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/alexandria/index.html,html,394083,45924,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/warriewood/index.html,html,394082,45040,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/richmond-lowlands/index.html,html,394079,45756,route html,no,no,no,ok,
